,country,time-period,sector,energy-type,value(KTOE)
448,United Kingdom,2011,transport,Electricity,361.565
449,United Kingdom,2012,transport,Electricity,385.211
450,United Kingdom,2013,transport,Electricity,374.205
451,United Kingdom,2014,transport,Electricity,387.36
452,United Kingdom,2015,transport,Electricity,388.35
453,United Kingdom,2016,transport,Electricity,403.275
454,United Kingdom,2017,transport,Electricity,415.586
455,United Kingdom,2018,transport,Electricity,428.508
456,United Kingdom,2019,transport,Electricity,469.119
457,Kosovo,2009,transport,Electricity,0.0
458,Kosovo,2010,transport,Electricity,0.0
459,Kosovo,2011,transport,Electricity,0.0
460,Kosovo,2012,transport,Electricity,0.0
461,Kosovo,2013,transport,Electricity,0.0
462,Kosovo,2014,transport,Electricity,0.0
463,Kosovo,2015,transport,Electricity,0.0
464,Kosovo,2016,transport,Electricity,0.0
465,Kosovo,2017,transport,Electricity,0.0
466,Kosovo,2018,transport,Electricity,0.0
467,Kosovo,2019,transport,Electricity,0.0
468,Kosovo,2020,transport,Electricity,0.0
469,Albania,2009,transport,Natural gas,0.0
470,Albania,2010,transport,Natural gas,0.0
471,Albania,2011,transport,Natural gas,0.0
472,Albania,2012,transport,Natural gas,0.0
473,Albania,2013,transport,Natural gas,0.0
474,Albania,2014,transport,Natural gas,0.0
475,Albania,2015,transport,Natural gas,0.0
476,Albania,2016,transport,Natural gas,0.0
477,Albania,2017,transport,Natural gas,0.0
478,Albania,2018,transport,Natural gas,0.0
479,Albania,2019,transport,Natural gas,0.0
480,Albania,2020,transport,Natural gas,0.0
481,Austria,2009,transport,Natural gas,195.713
482,Austria,2010,transport,Natural gas,208.666
483,Austria,2011,transport,Natural gas,256.654
484,Austria,2012,transport,Natural gas,210.18
485,Austria,2013,transport,Natural gas,277.122
486,Austria,2014,transport,Natural gas,234.401
487,Austria,2015,transport,Natural gas,269.755
488,Austria,2016,transport,Natural gas,259.278
489,Austria,2017,transport,Natural gas,290.605
490,Austria,2018,transport,Natural gas,269.921
491,Austria,2019,transport,Natural gas,251.076
492,Austria,2020,transport,Natural gas,222.161
493,Bosnia and Herzegovina,2014,transport,Natural gas,0.0
494,Bosnia and Herzegovina,2015,transport,Natural gas,0.0
495,Bosnia and Herzegovina,2016,transport,Natural gas,0.086
496,Bosnia and Herzegovina,2017,transport,Natural gas,1.094
497,Bosnia and Herzegovina,2018,transport,Natural gas,2.042
498,Bosnia and Herzegovina,2019,transport,Natural gas,2.3
499,Bosnia and Herzegovina,2020,transport,Natural gas,2.537
500,Belgium,2009,transport,Natural gas,49.94
501,Belgium,2010,transport,Natural gas,52.073
502,Belgium,2011,transport,Natural gas,47.415
503,Belgium,2012,transport,Natural gas,45.322
504,Belgium,2013,transport,Natural gas,45.256
505,Belgium,2014,transport,Natural gas,25.674
506,Belgium,2015,transport,Natural gas,34.491
